PDOid,koeppen,landform
PDO-RO-A0365,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0366,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0368,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0369,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0371,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A0611,"BSk Arid, steppe, cold",Lowlands
PDO-RO-A0624,"BSk Arid, steppe, cold",Plains
PDO-RO-A1062,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1064,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A1067,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1072,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-RO-A1079,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1093,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1193,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1214,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1309,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-RO-A1336,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1424,"BSk Arid, steppe, cold",Plains
PDO-RO-A1558,"Dfa Cold, no dry season, hot summer",Plains
PDO-RO-A1575,"BSk Arid, steppe, cold",Plains
PDO-RO-A1577,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1583,"Dfb Cold, no dry season, warm summer",Lowlands
PDO-RO-A1584,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-A1586,"Dfb Cold, no dry season, warm summer",Plains
PDO-RO-N0037,"BSk Arid, steppe, cold",Lowlands
PDO-RO-N1588,"BSk Arid, steppe, cold",Plains
PDO-SI-A0270,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-SI-A0448,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-SI-A0609,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-SI-A0616,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-SI-A0639,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A0769,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A0772,"Dfb Cold, no dry season, warm summer",Hills
PDO-SI-A0871,"Dfb Cold, no dry season, warm summer",Hills
PDO-SI-A0878,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1520,"Dfb Cold, no dry season, warm summer",Hills
PDO-SI-A1561,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1576,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1579,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SI-A1581,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-SK-01899,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SK-A0120,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1354,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1355,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-SK-A1356,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1357,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1360,"Dfb Cold, no dry season, warm summer",Plains
PDO-SK-A1598,"Dfb Cold, no dry season, warm summer",Plains
